"碗_SITE_NAME","SITE_ID","Average_of_LATITUD","Average_of_LONGITUD","Nodo_HFC"
"Palmasola Nuevo","PSN",-17.87219,-63.17667,"SCZ950"
"Palmicruz","PMI",-17.80761,-63.12572,"SCZ193"
"Palmira","PMR",-17.88089,-63.19164,"SCZ952"
"Palos Blancos","PAB",-15.58184,-67.24738,""
"Palos Blancos Tarija","PBL",-21.39481,-63.78128,""
"Pampa Aullagas","AUL",-19.19694,-67.06385,""
"Pampa de la Isla","PIS",-17.7692,-63.11636,"SCZ314"
"Pampa Ingenio","PIG",-19.59032,-65.73864,"PTS139"
"Pampa Tejerina","PTJ",-17.75521,-63.10849,"SCZ417"
"Pampahasi","PAM",-16.50278,-68.10391,"LPZ103"
"Pampahasi 2","PAM2",-16.50567,-68.10108,"LPZ312"
"Panamericana","PNM",-17.7789,-63.10344,"SCZ317"
"Pantanal","PAN",-19.01423,-57.75098,""
"Pantini","PTN",-16.49293,-68.04088,""
"Papa Paulo","PAP",-17.38367,-66.14553,"CBB104"
"Papel Pampa","PPAM",-17.81935,-67.76966,""
"Paractito","PRCT",-16.99671,-65.50183,""
"Paragua","PAR",-17.76594,-63.1574,"SCZ064"
"Paraiso","PRS",-17.77276,-63.17338,"SCZ022"
"Parapeti","PRT",-20.00697,-63.18834,""
"Parque Arandia","PQA",-16.47695,-68.12314,"LPZ334"
"Parque Bolivar","PQB",-19.03853,-65.26318,"SRE 135"
"Parque Cretacico","PQC",-19.01386,-65.24971,"SRE048"
"Parque de la Mujer","PQM",-17.38946,-66.15144,""
"Parque de las Memorias","PME",-17.37724,-66.10801,"CBB206"
"Parque del Poeta","PPO",-17.39022,-66.16667,"CBB298"
"Parque Demetrio Canelas","PDC",-17.38,-66.17263,"CBB307"
"Parque El Pulpo","PPU",-17.44175,-66.15473,"CBB044"
"Parque Industrial","PQI",-17.75181,-63.12759,"SCZ404"
"Parque Industrial 2","PQI2",-17.76228,-63.14268,""
"Parque Industrial 3","PI3",-17.75507,-63.13829,""
"Parque Industrial Latinoamericano","PILA",-17.56086,-63.12213,""
"Parque Mariscal Santa Cruz","PMC",-17.3974,-66.17281,"CBB606"
"Parque Mirador Agar De Fereira","MAF",-16.52406,-68.10116,""
"Parque Noruego","NRG",-17.39144,-66.13758,""
"Parque Pili Huachana","PPH",-17.40863,-66.18103,"CBB611"
"Parque Quezada","PQZ",-16.52033,-68.1129,"LPZ026"
"Parque Roosevelt","PQR",-17.36079,-66.17109,"CBB321"
"Parque Tacna","PTC",-17.96448,-67.09928,"ORU358"
"Parque Teleferico","PTF",-17.3875,-66.14203,"CBB105"
"Parque Triangular","PQT",-16.50492,-68.12153,"LPZ307"
"Pasankeri","PSK_",-16.52064,-68.14528,"LPZ576"
"Pasankeri 2","PSK2_",-16.52593,-68.1411,"LPZ580"
"Pasorapa","PARP",-18.31875,-64.68017,""
"Pasoskanky","PKK",-16.49866,-68.11889,"LPZ046"
"Patacamaya","PAT",-17.23597,-67.91119,""
"Patacamaya 2","PAT2",-17.24198,-67.91223,""
"Patria","SCR2",-19.03311,-65.25869,""
"Patuju","PJU",-11.02472,-68.77106,""
"Paurito","PAU",-17.8811,-62.9399,""
"Paz침a","PZA",-18.607,-66.92573,""
"Pedro Domingo","PDM",-16.502,-68.20631,"EAL111"
"Pedro Lorenzo","PLOR",-17.9527,-63.2509,""
"Pedro Ribera","PDR",-17.7613,-63.17001,"SCZ003"
"Pelechuco","PECH",-14.82054,-69.0717,""
"Pelillojo","PEL",-20.72458,-65.10686,""
"Pelota de Trapo","PDT",-17.36669,-66.18531,"CBB500"
"Penocos","PEN",-17.8052,-63.1506,"SCZ178"
"Pentaguazu","PGZ",-17.59043,-63.13233,""
"Pentaguazu 2","PGZ2",-17.60173,-63.11885,""
"PentaguazuOeste","PGO",-17.60295,-63.17411,""
"Perez","PER",-16.49359,-68.1375,""
"Periferica 2","PFC2",-16.45754,-68.12228,""
"Peta Grande","PTG",-16.18046,-64.0411,""
"Petrolero","PTR",-17.76582,-63.17573,"SCZ001"
"Petrolero Sur","PTS",-17.79631,-63.15796,"SCZ088"
"Picacho","PIC",-21.60442,-64.65914,""
"Pilon","PIL",-15.52915,-67.97669,""
"Pinami","PIN",-17.38758,-66.24943,""
"Pinami sud","PMS",-17.39415,-66.26244,""
"Piquirini","PIQ",-17.46578,-66.1362,""
"Pirai","PIR",-16.50111,-68.11916,"LPZ046"
"Pisiga","PSG",-19.27071,-68.61979,""
"Plahipo","PLA",-19.63743,-65.72174,""
"Plan 12 Hamacas","P12",-17.74661,-63.17172,"SCZ007"
"Plan 3","PLN",-17.81539,-63.12544,"SCZ192"
"Plan 4","PL4",-17.8836,-63.17901,"SCZ954"
"Plan 700","P700",-17.43385,-66.13569,"CBB142"
"Plan Satelite","PST",-16.53031,-68.15423,"LPZ126"
"Planta Diesel","PTD",-19.05561,-65.27167,"SRE159"
"Planta Samapa","PLS",-16.49819,-68.10531,"LPZ104"
"Planta Senkata","SNK",-16.56601,-68.18768,"EAL350"
"Play Land","PLL",-17.6769,-63.15776,""
"Playa de Autos","PDA",-17.75266,-63.15133,"SCZ500"
"Plaza","PLZ",-17.7823,-63.181,"SCZ1015"
"Plaza 450 A침os","P450",-19.03371,-65.26341,"SRE107"
"Plaza Adela Zamudio","PAZ",-16.51793,-68.13231,"LPZ099"
"Plaza Alto de la Alianza","ALZ",-19.03905,-65.25376,"SRE030"
"Plaza Brasil","PBR",-16.49597,-68.20535,"EAL106"
"Plaza El Minero","EMN",-16.53902,-68.17661,"LPZ074"
"Plaza Ergueta","PEG",-16.49503,-68.10011,"LPZ107"
"Plaza Eustaquio Mendez","PEM",-22.04863,-63.68228,"YCB011"
"Plaza Franz Tamayo","PFZ",-17.37581,-66.16463,"CBB311"
"Plaza Ganado","PGA",-17.4296,-66.15748,"CBB040"
"Plaza Garita Lima","PGL",-16.49511,-68.14664,"LPZ512"
"Plaza German Busch","PGB",-16.48508,-68.17006,"EAL18"
"Plaza Ingavi","PGV",-17.9746,-67.11525,"ORU092"
"Plaza La Paz","PLP",-16.49314,-68.18119,"EAL003"
"Plaza La Riva","PLR",-19.5939,-65.7535,"PTS107"
"Plaza Las Banderas","PBA",-17.38283,-66.16,""
"Plaza Libertadores","PLB",-22.00719,-63.68162,"YCB002"
"Plaza Mapajo","PMJ",-11.01308,-68.75228,""
"Plaza Nuflo De Chavez","PNC",-17.78145,-63.1746,"SCZ1016"
"Plaza Pacajes","PPC",-16.49604,-68.16777,"LPZ057"
"Plaza San Pedro","PSP",-16.50332,-68.12986,""
"Plaza Trinidad","PZT",-14.83314,-64.90349,""
"Plaza Villarroel","PVL",-16.48327,-68.1213,"LPZ346"
"Plazuela Callejas","PCA",-17.78617,-63.17319,"SCZ1008"
"Plazuela Fatima","PFT",-17.79555,-63.19021,""
"Plazuela Litoral","PLT",-19.02854,-65.25318,"SRE038"
"Pocitos","POC",-22.03311,-63.67737,""
"Pocona","PCO",-17.68589,-65.37321,""
"Poconas","PCN",-19.04739,-65.24964,"SRE147"
"Pojo","POJ",-17.7425,-64.85958,""
"Policial","PLC",-16.52478,-68.15375,"LPZ060"
"Polideportivo Potosi","PDP",-19.59162,-65.74173,"PTS137"
"Politecnico Militar","POM",-17.45434,-66.13918,"CBB056"
"Pompeya","PMY",-14.83925,-64.90394,""
"Poopo","POO",-18.3826,-66.9703,""
"Poquempata","PQP",-16.50455,-68.11119,"LPZ308"
"Porco","PRO",-19.78165,-65.97469,""
"Poroma","PRM",-18.55113,-65.43169,""
"Porongo","PRG",-17.852,-63.31042,""
"Portachuelo","POR",-17.35211,-63.39534,""
"Portachuelo 2","POR2",-17.36311,-63.40475,""
"Postrer Valle","PTV",-18.49318,-63.86555,""
"Potosi Urbano","POT3",-19.58111,-65.77338,""
"Pozo del Tigre","PTI",-17.60316,-61.9865,""
"Prado","PRD",-17.38628,-66.15761,""
"Presto","PRE",-18.93427,-64.93468,""
"Primavera","PRI",-17.82594,-63.17222,"SCZ900"
"PTJ TARIJA","PJT",-21.52677,-64.72864,"TRJ010"
"Pucara","PUA",-17.4729,-66.16833,""
"PUCARA 2","PUA2",-17.49592,-66.16841,""
"Pucara SCZ","PUSC",-18.7328,-64.2013,""
"Pucarani","PCR",-16.3991,-68.4791,""
"Pucarani Senkata","PCS",-16.57753,-68.20006,""
"Pueblo Nuevo","PNV",-17.85156,-63.06222,"SCZ288"
"Puente Caimanes","PCAI",-17.07229,-63.07655,""
"Puente espa침ol","PES",-18.00479,-67.10354,""
"Puente San Martin","PSM",-21.53363,-64.71058,"TRJ201"
"Puente San Pablo","PPA",-15.25203,-63.8723,""
"Puente Wara Wara","PWA",-17.36941,-66.11649,"CBB335"
"Puerto Acosta","PAO",-15.53494,-69.25092,""
"Puerto Almacen","ALM",-14.86883,-64.95988,""
"Puerto Alto","PUT",-11.01788,-68.75583,""
"Puerto Aurora","PTA",-16.8477,-65.18427,""
"Puerto Carabuco","PCB",-15.7605,-69.0692,""
"Puerto Gonzalo Moreno","PGM",-11.06947,-66.18437,""
"Puerto Parajti","PPJ",-15.65956,-69.21275,""
"Puerto Perez","PPE",-16.28989,-68.59943,""
"Puerto Quijarro 2","PQ2",-19.01764,-57.71314,""
"Puerto Rico","PUR",-17.3453,-62.5553,""
"Puerto Rico Pando","PRP",-11.10749,-67.55094,""
"Puerto San Francisco","PSF",-16.74982,-65.30949,""
"Puerto Seco","PUSE",-17.87556,-67.13277,""
"Puerto Siles","PUS",-12.79933,-65.00226,""
"Puerto Suarez","PTZ",-18.96695,-57.80533,""
"Puerto Suarez 2","PS2",-18.97503,-57.79286,""
"Puerto Villarroel","PVR",-16.84156,-64.79967,""
"Puerto Yata","PYT",-10.99222,-65.58024,""
"Pulacayo","PCY",-20.38357,-66.71473,""
"Pulquina","PUL",-18.10184,-64.43328,""
"Pulquipunta","PUQ",-19.76189,-65.14239,""
"PUNA","PNA",-19.79804,-65.5065,""
"Punata","PUN",-17.53718,-65.85297,""
"Punata 2","PN2",-17.55199,-65.83489,""
"Queru Queru","QRU",-17.35608,-66.1425,""
"QUIABAYA","QBY",-15.63537,-68.70265,""
"Quijarro","QJO",-19.00465,-57.72104,""
"Quillacollo","QUI1",-17.39345,-66.27725,"QLL013"
"Quillacollo Centro","QUI2",-17.39917,-66.28521,""
"Quillacollo Norte","QLN",-17.38469,-66.28734,"QLL020"
"Quillacollo-Vinto","QUIV",-17.37224,-66.30276,""
"Quime","QME",-16.9791,-67.2135,""
"Quimome","QMM",-17.7081,-61.16316,""
"Quior","QUI",-17.84519,-63.10708,"SCZ251"
"Quirpinchaca","QRP",-19.03712,-65.27051,"SRE101"
"Quirusillas","QRS",-18.3195,-63.94867,""
"Radial 10","R10",-17.81286,-63.13156,"SCZ185"
"Radial 12","R12",-17.79129,-63.21058,"SCZ039"
"Radial 13","R13",-17.83028,-63.17906,"SCZ175"
"Radial 17 1/2","R17",-17.81335,-63.21625,"SCZ134"
"Radial 21","R21",-17.77849,-63.21577,"SCZ034"
"Radial 27","R27",-17.75201,-63.18101,"SCZ012"
"RadioDOT Ambassador","DAMB",-17.76821,-63.19427,"SCZ019"
"Ramada","RAM",-17.79251,-63.18866,""
"Ramada 2","RA2",-17.79462,-63.18917,""
"Ramafa","RAF",-17.80685,-63.18067,"SCZ150"
"Rancho Nuevo","RNV",-17.74369,-63.12217,"SCZ413"
"Raquelita","RAQ",-17.392,-66.1544,""
"Ravelo","RVL",-18.80796,-65.51406,""
"Recoleta","REC",-17.37778,-66.15531,"CBB314"
"Red Uno","RDU",-16.51595,-68.12566,"LPZ570"
"Reducto","RED",-17.3904,-66.24298,"CBB571"
"Refineria","REF",-17.86603,-63.18814,"SCZ943"
"REFORMA","RFO",-17.2607,-63.0308,""
"Remanso","RMN",-17.70772,-63.17032,"SCZ130"
"Represa Incachaca","REI",-16.41863,-68.0477,""
"Reyes","RYS",-14.29591,-67.33156,""
"Riberalta","RIB",-11.00906,-66.06221,""
"Riberalta 11","R11",-11.05367,-66.03277,""
"Riberalta 3","RI3",-11.01084,-66.04575,""
"Riberalta 4","RIB4",-11.00714,-66.06867,""
"Riberalta 5","RIB5",-11.00031,-66.05105,""
"Riberalta 6","RIB6",-11.03076,-66.04134,""
"Riberalta 7","RIB7",-10.99914,-66.06453,""
"Riberalta 8","RIB8",-11.02043,-66.05225,""
"Riberalta 9","RIB9",-11.01598,-66.078,""
"Riberalta II","RIB2",-10.9989,-66.0741,""
"Riberalta10","RI10",-10.99921,-66.03557,""
"Rio Seco","RSE_",-16.49172,-68.22705,"EAL131"
"Rio Seco Florida","RSF",-18.66822,-63.24419,""
"Robore","ROB",-18.3371,-59.7584,""
"Robore 2","ROB2",-18.34693,-59.74116,""
"Roca Coronado","ROC",-17.78673,-63.21704,"SCZ131"
"Rosal Centro","RCT",-17.93575,-62.67491,""
"Rosas Pampa","RPA",-16.55075,-68.18364,""
"Rottary Club Camiri","RCC",-20.03651,-63.51461,""
"Rumi Rumi","RUM",-17.4571,-66.16772,""
"Rurrenabaque","RUQ",-14.43885,-67.52575,""
"Rurrenabaque II","RUQ2",-14.42726,-67.50823,""
"Saavedra","SAV",-17.2322,-63.21588,""
"SABAYA","SBY",-19.01496,-68.37106,""
"SABSA","SAB",-17.64825,-63.14115,""
"SABSA LPZ","SLP",-16.50818,-68.17662,""
"Sacaba","SAC",-17.40183,-66.04116,"SAC008"
"Sacaba 3","SAC3",-17.41612,-66.02198,""
"Sacaba 4","SAC4",-17.41317,-66.05606,""
"Sacaba II","SAC2",-17.40394,-66.02744,"SAC016"
"Sacabamba","SBB",-17.80554,-65.77506,""
"Sagrado Corazon","SCN",-16.84083,-63.40949,""
"Saguapac","SAG",-17.80447,-63.18581,"SCZ148"
"Said","SID",-16.4884,-68.1478,"LPZ501"
"Saipina","SAP",-18.0943,-64.578,""
"Salida a Copacabana","SCOP",-16.43567,-68.33251,""
"Salida A Cotapata","SCP",-16.45129,-68.09157,""
"Salida a Huanuni","SHU",-18.00029,-67.0569,""
"Salinas de Garci-Mendoza","SDGM",-19.63829,-67.67388,""
"Samaipata","SAM",-18.17622,-63.87697,""
"Samaria","SMR",-17.84752,-63.07753,"SCZ282"
"SAMO EA","SAMO",-16.64179,-68.18192,""
"San Agust칤n","SAGU",-21.15487,-67.67832,""
"San Andres","SAD",-21.62477,-64.82335,""
"San Andres Beni","ANB",-15.02287,-64.66618,""
"San Antonio de Esmoruco","SAE",-21.94807,-66.51683,""
"San Antonio de Lomer칤o","SADL",-16.76392,-61.81747,""
"San Benito","SBN",-17.5229,-65.8913,""
"San Bernardo","SBE",-21.52474,-64.7235,"TRJ009"
"San Borja","SBO",-14.85915,-66.74344,""
"San Buena Ventura","SBV",-14.43771,-67.53934,""
"San Carlos","SCA",-17.40144,-63.73267,""
"San Carlos de Sapoco","SCS",-16.62513,-60.99338,""
"San Francisco","SFR",-16.49685,-68.13604,""
"San Gabriel","SGA",-16.67281,-65.62547,""
"San Ignacio","SIG",-16.36596,-60.96907,""
"San Ignacio Centro","SIVC",-16.372,-60.9622,""
"San Ignacio de Moxos","SAI",-14.99556,-65.63747,""
"San Ignacio III","SIV",-16.3809,-60.95761,""
"San Isidro","SIS",-16.51434,-68.10811,"LPZ032"
"San Jacinto","SJC",-21.61689,-64.74619,""
"San Javier","SJA",-16.27728,-62.50775,""
"San Javier 2","SJA2",-16.2773,-62.4826,""
"San Javier Beni","SJBE",-14.60066,-64.88097,""
"San Jer칩nimo","SJE",-21.98754,-63.6888,""
"San Joaquin","SJQ",-13.04861,-64.67015,""
"San Jorge","JRG",-17.73248,-63.09767,"SCZ447"
"San Jose","SAJO",-20.02884,-63.52339,""
"San Jose Chiquitos","SJO",-17.8451,-60.7356,""
"San Jose Del Torno","SJT",-17.94743,-63.35434,""
"San Juan Bautista","SJB",-19.5917,-65.7464,"PTS121"
"San Juan Macias","SJM",-17.75778,-63.16291,"SCZ059"
"San Juan Yapacani","SJU",-17.29056,-63.845,""
"San Juanillo","JNL",-19.03304,-65.25025,""
"San Julian","SJL",-16.92108,-62.61487,""
"San Julian 2","SJL2",-16.90815,-62.61637,""
"San Julian 3","SJL3",-16.90158,-62.62408,""
"San Julian 4","SJL4",-16.90213,-62.60608,""
"San Lorenzo","SLO",-21.41641,-64.7515,""
"San Lorenzo Nuevo","SLN",-18.52458,-59.33108,""
"San Lucas","SLC",-20.10821,-65.13442,""
"San Marcos 2","SM2",-17.37496,-66.16057,"CBB324"
"San Martin","MTN",-19.59767,-65.74703,"PTS108"
"San Martin SCZ","SMAR",-15.3893,-61.49369,""
"San Mateo","SMT",-21.50011,-64.74978,"TRJ44"
"San Matias","SMA",-16.36516,-58.39844,""
"San Miguel","SMI",-16.54259,-68.07745,"LPZ012"
"San Miguel de los Juno","SMJU",-17.93192,-63.03705,""
"San Miguel de Velasco","VEL",-16.7044,-60.97192,""
"San Pablo de Lipez","SPL",-21.68604,-66.61595,""
"San Pedro","SPD",-16.83219,-63.47981,""
"San Pedro de Buena Vista","SPBV",-18.24201,-65.98725,""
"SAN PEDRO DE CURAHUARA","SPC",-17.65406,-68.04855,""
"San Pedro de Quemes","SPQ",-20.7465,-68.04877,""
"San Rafael","SRF",-16.7865,-60.67785,""
"San Ramon","SRA",-16.61728,-62.49605,""
"San Ramon Beni","SRM",-13.26084,-64.61657,""
"San Roque","SRQ",-19.57864,-65.74964,"PTS164"
"San Sebastian","SSB",-19.02887,-65.26689,"SRE109"
"Sanandita","SDT",-21.66028,-63.63944,""
"Santa Ana","SAN",-17.74608,-63.18013,"SCZ046"
"Santa Ana de Velasco","SADV",-16.586,-60.68903,""
"Santa Ana de Yacuma","SAY",-13.7494,-65.4265,""
"Santa Ana La Nueva","SNU",-21.49737,-64.52428,""
"Santa Fe de Yapacani","SFY",-17.39574,-63.82557,""
"Santa Marta","SNM",-17.90103,-63.33839,""
"Santa Rita","SRI",-17.98025,-63.37101,""
"Santa Rita Rural","SRRU",-17.94784,-62.96792,""
"Santa Rosa","SRO",-17.10805,-63.61123,""
"Santa Rosa De La Roca","SRR",-15.91246,-61.44161,""
"Santa Rosa De Lima","SRL",-16.45552,-68.16646,""
"Santa Rosa de Mapiri","MPI",-15.31422,-68.34304,""
"Santa Rosa de Yacuma","SRY",-14.07154,-66.79294,""
"Santa Rosa N","SRN",-17.0837,-65.22178,""
"Santa Rosa TRJ","SRT",-21.84056,-63.84786,""
"Santa Rosita","SRS",-17.7916,-63.1988,"SCZ037"
"Santa Vera Cruz","SVC",-17.45677,-66.12691,""
"Santiago de Callapa","SDC",-17.47959,-68.35564,""
"Santiago de Chiquitos","STG",-18.33679,-59.62806,""
"Santiago de Lacaya","SDL",-16.47065,-68.12316,"LPZ339"
"Santiago Primero","STO",-16.52239,-68.16097,"EAL300"
"Santivanez","STV",-17.54789,-66.25236,""
"Santo Domingo","SDO",-17.40079,-66.27769,""
"Santos Dumont","DUM",-17.81467,-63.18333,"SCZ169"
"Santuario de Quillacas","SDQ",-19.23407,-66.94132,""
"SAO","SAO",-17.76754,-63.13794,""
"Sapahaqui","SPHQ",-16.88854,-67.94963,""
"Sapecho","SCH",-15.5593,-67.334,""
"Saragoza","SGZ",-17.71124,-63.06095,""
"Sararenda","SRD",-20.0682,-63.56455,""
"Sarco","SCO",-17.36812,-66.17825,"CBB319"
"Sarcobamba","SRC",-17.37951,-66.18957,"CBB505"
"Satelite Cosite","STC",-16.51992,-68.14969,""
"Satelite Norte","SAT",-17.60514,-63.14042,"SAT002"
"Satelite Norte 2","SAT2",-17.60366,-63.15183,"SAT006"
"Sausalito","SST",-17.71881,-63.18688,"SCZ605"
"Sayonama","SYN",-16.38235,-61.03377,""
"SCR POT III","SRPT3",-19.37875,-65.20856,""
"SCR POT IV","SRPT4",-19.53854,-65.24538,""
"SCR POT V","SRPT5",-19.62284,-65.3726,""
"SCR POT VI","SRPT6",-19.5405,-65.54101,""
"SCR POT VII","SRPT7",-19.53917,-65.69386,""
"SCR_POT1","SRPT1",-19.10884,-65.26465,""
"SCR_POT2","PT2",-19.24247,-65.16958,""
"SCZ CBBA II","SCB2",-17.20306,-65.83127,""
"SCZ CBBA III","SCB3",-17.16455,-65.7386,""
"SCZ CBBA IV","SCB4",-17.00881,-65.57261,""
"SCZ CBBA V","SCB5",-17.01219,-65.0589,""
"SCZ CBBA VII","SCB7",-17.15349,-64.64761,""
"SCZCBBA6","SCB6",-17.11736,-64.77131,""
"SCZCBBA8","SCB8",-17.3663,-64.0693,""
"SCZCBBA9","SCB9",-17.38728,-63.52115,""
"Sede Blooming","BMG",-17.72259,-63.15098,"SCZ506"
"Sede Linea 4","LI4",-17.81624,-63.10068,"SCZ213"
"Seguencoma","SEG",-16.53192,-68.10219,"LPZ137"
"Senda 6","SD6",-17.02238,-64.95007,""
"Senda D","SDD",-16.9177,-65.14484,""
"Senkata","SEN_",-16.58113,-68.18458,"EAL372"
"Senkata El Alto","SKEA",-16.80218,-68.17139,""
"Senkata II","SEN2",-16.5896,-68.1816,"EAL381"
"Senor de los Milagros","MIL",-17.79933,-63.2017,"SCZ042"
"Seton","SET",-17.39056,-66.2075,"CBB561"
"Sevaruyo","SVY",-19.33816,-66.84085,""
"Sevilla 2","SEV",-17.81992,-63.17101,"SCZ901"
"Sevilla Las Terrazas","SLT",-17.686,-63.14433,""
"Sevillas del Bosque","SEB",-17.67072,-63.09606,""
"Shinaota","SHI",-16.99064,-65.25,""
"Shinaota Villa (San Isidro)","SHV",-17.0124,-65.3007,""
"Sica Sica","SIC",-17.33075,-67.74014,""
"Sica sica SCR","SCR3",-19.05547,-65.24383,""
